"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
6050,"1-(4-chlorophenyl)-3-[2-(3-pyridyl)-1,3-thiazol-4-yl]-1H-pyrazol-5-amine","C17 H12 Cl N5 S",353.05045,354.05773,10.928,"mz_cloud",1036899.44187076,"maun wwtp (main) waste water"
5865,"1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione","C10 H10 N2 O2",190.07427,191.08155,11.143,"mz_cloud",1220084.72657695,"palapye wwtp (eff) waste water"
5865,"1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione","C10 H10 N2 O2",190.07427,191.08155,11.143,"mz_cloud",1315788.92191876,"francistown wwtp surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2569204.03198431,"lecheng stream surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",1995683.83783008,"lecheng spring surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",3954997.4859305,"palapye wwtp (eff) waste water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",4955220.71537689,"palapye wwtp surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2215730.8985499,"lotsane dam surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",3196616.96231994,"francistown wwtp surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2533838.90556148,"kasane wwtp (main) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2434155.3860588,"kasane wwtp (overflow) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2571553.81161324,"kasane (main) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2675085.50080221,"kasane (recreational) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2644761.78356786,"maun beach (before) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2503191.10646394,"maun beach (after) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",3197280.698142,"maun wwtp (main) waste water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2857773.4839809,"glen valley (reclamation) surface water"
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24065,254.24793,20.397,"mz_cloud",2852371.82112879,"glen valley (recreational) surface water"
9288,"1-Hydroxybenzotriazol","C6 H5 N3 O",135.04342,136.05064,1.535,"mz_cloud",364590.453383563,"maun beach (after) surface water"
6374,"1-Naphthol","C10 H8 O",144.0576,145.06487,17.613,"mz_cloud",1081239.6934947,"palapye wwtp (eff) waste water"
6374,"1-Naphthol","C10 H8 O",144.0576,145.06487,17.613,"mz_cloud",1277925.66259654,"palapye wwtp surface water"
5325,"1-Phenylhexahydropyridazine-3,6-dione","C10 H10 N2 O2",190.07428,191.08155,10.301,"mz_cloud",215290.921034458,"lotsane dam surface water"
5325,"1-Phenylhexahydropyridazine-3,6-dione","C10 H10 N2 O2",190.07428,191.08155,10.301,"mz_cloud",1276027.74086949,"francistown wwtp surface water"
